E,Zc,d0,Wt,Wr,E0J,betaJ,tcJ,F0J,E0Tn,betaTn,tcTn,F0Tn
0.86032227,0.99995401,0.99996597,0.28803734,0.83639327,0.01925592,0.01282428,0.63688671,0.99996825,0.01719805,0.00004540,0.61471926,0.99996075
0.54951382,0.99994339,0.99996055,0.30709831,0.84340764,0.01980113,0.00460680,0.64219787,0.99994841,0.01609927,0.00000000,0.61604560,0.99996120
0.76217264,0.99994282,0.99996604,0.28197395,0.83560461,0.02047039,0.00066610,0.63769913,0.99993895,0.01628914,0.00000000,0.61366579,0.99996386
0.69941993,0.99993663,0.99996462,0.29202864,0.83710453,0.02093841,0.00144022,0.64279594,0.99992535,0.01664312,0.00000001,0.61620404,0.99995277
0.63431085,0.99992891,0.99996205,0.29975892,0.83472745,0.02059481,0.00000074,0.64147492,0.99993611,0.01630124,0.00000000,0.61556192,0.99996429
0.70299002,0.99992646,0.99996619,0.29069364,0.83826680,0.02027958,0.00440537,0.64130386,0.99994436,0.01639300,0.00000000,0.61552110,0.99996348
0.67990203,0.99991999,0.99996281,0.30740781,0.83549030,0.02174549,0.00001482,0.64132059,0.99993174,0.01721616,0.00000000,0.61547833,0.99995976
0.52359084,0.99991120,0.99996064,0.31900124,0.84130377,0.02031145,0.00036987,0.64418820,0.99994803,0.01607319,0.00000011,0.61673287,0.99996522
0.76402964,0.99991161,0.99996427,0.29637244,0.83830412,0.02119846,0.00315542,0.63999699,0.99994038,0.01702373,0.00000000,0.61480796,0.99996084
0.65882441,0.99990506,0.99996250,0.30123925,0.83821292,0.02129898,0.00051199,0.64322306,0.99993397,0.01688299,0.00000000,0.61643516,0.99996172
0.67737193,0.99990018,0.99995901,0.30344476,0.83543789,0.02077727,0.00304680,0.64032162,0.99993873,0.01669397,0.00000000,0.61501599,0.99996091
0.53328595,0.99989195,0.99996103,0.31218916,0.84262618,0.01794004,0.00289156,0.63684757,0.99998120,0.01562883,0.00000000,0.61481134,0.99996340
0.43287339,0.99988376,0.99996215,0.30115528,0.84191449,0.01876845,0.00031737,0.64462724,0.99992758,0.01468977,0.00000000,0.61701125,0.99996227
0.13127600,0.99982761,0.99995523,0.31634555,0.84483371,0.01181958,0.00028714,0.64830787,0.99992614,0.00940475,0.00000000,0.61934725,0.99995551
0.67573999,0.99987990,0.99996794,0.27529752,0.83781012,0.01894999,0.00042901,0.63682196,0.99993610,0.01506553,0.00000000,0.61322714,0.99996172
0.76681264,0.99987673,0.99996396,0.28242737,0.83673812,0.02063881,0.00061701,0.64133484,0.99993155,0.01639345,0.00000001,0.61550013,0.99995847
