Zc,E0Tn,betaTn
-3847.46744926,253437.63614796,0.00010008
-3846.52162647,256702.17744735,0.00010000
-3844.79539914,259958.43772100,0.00010000
-3852.80333731,253877.18214068,0.00010000
-3855.13559395,255320.94224294,0.00010000
-3937.50309504,161336.74427039,0.00010000
-3860.44019505,254889.25059726,0.00010000
-3881.84333027,243348.73883918,0.00010000
-3866.16478108,254051.01922425,0.00010000
-3878.00332427,243023.29664063,0.00010000
-3872.44269516,259194.98535852,0.00010000
-3874.10011514,255165.80816901,0.00010148
-3882.84572962,254159.19583673,0.00010004
-3884.79167264,253546.48755657,0.00010000
-3887.47311863,250103.30052538,0.00010000
-3888.89554908,257112.16905650,0.00010000
-3896.64465538,243434.88770510,0.00010000
-3895.21198001,247122.79711590,0.00010489
-4040.94042738,135241.41981109,0.00010000
-4047.57029037,133854.49902835,0.00010001
-4075.07772787,113277.80648698,0.00010000
-4091.72072654,86617.51918687,0.02391838
-4547.88105497,27304.04099640,0.00014986
-4551.19821877,21891.68998086,0.00010000
-4252.69512019,38297.17775460,0.04226711
-4239.12719915,58083.25892568,0.00010000
-4095.08558316,112541.57160144,0.00010000
-4299.13698018,19526.53064978,0.09491173
-4670.87564916,13282.01405104,0.03102012
-4669.15428908,14995.50961396,0.00012460
-4469.43492264,18397.12039070,0.00046968
-4528.65166107,14047.19072175,0.00010000
-4718.36040621,10554.85324124,0.00010004
-4432.15255723,36486.74249321,0.00010000
-4459.37919070,53013.18828218,0.02936096
-4422.28130481,26992.49631476,0.00010000
-4287.55740442,41543.89537754,0.00010000
-4147.87746541,78373.98701447,0.02701893
-4128.43431417,111895.65080324,0.00010000
-4139.43572566,91192.14199811,0.01350458
-4494.88713880,30729.54542017,0.00010000
-4473.83514487,27228.65256390,0.00010003
-3960.74559880,245834.91296343,0.00010000
-3984.41990225,227376.88419669,0.00010000
-3995.99305802,210347.38467315,0.00010000
-3987.45406179,236412.61029495,0.00010000
-3992.42508692,210115.64719884,0.00010000
-3973.28498843,263379.48685176,0.00010061
-3977.78515833,238490.10259878,0.00010000
-3981.38149210,256957.05961542,0.00010000
-3984.61066601,207186.52917415,0.00010000
-3990.71100581,248471.92831168,0.00010000
-3984.98613508,260418.09212907,0.00010000
-3986.53509639,253149.18706558,0.00010000
-3994.01323198,243623.68967369,0.00010000
-3993.71994386,254350.14196395,0.00010000
-3998.46360145,246240.43264667,0.00010000
-4003.95833843,246258.11189162,0.00010609
-4009.87913752,203336.60052525,0.00010000
-4055.53178075,194023.83489020,0.00010000
-4007.36281708,209343.86949263,0.00010000
-4010.55287746,253374.81071977,0.00010000
-4384.84246999,28895.81854026,0.11444959
-4014.44014867,251046.24051136,0.00010000
-4021.18115846,259246.38276721,0.00010164
-4016.60008386,253112.95801630,0.00010000
-4017.08393717,240699.40560085,0.00010000
-4015.08540031,248694.28374913,0.00010000
-4015.86477169,233873.76389743,0.00010000
-4022.06840598,229065.61079139,0.00010000
-4006.37585208,257247.71666044,0.00010000
-4003.79218391,241614.55048925,0.00010000
-4002.23385044,251692.82629056,0.00010000
-3998.01412864,255333.80227694,0.00010000
-4008.34372162,231475.61758167,0.00010000
-3994.75374089,258803.53482053,0.00010000
-3988.45876456,259952.80941754,0.00010006
-3993.78513197,257066.65200237,0.00010000
-3994.56005064,247752.31248279,0.00010423
-3989.05950818,249296.33254039,0.00010000
-3999.78033425,228152.39220712,0.00010000
-3979.14461228,259802.35373892,0.00010000
-3982.78480403,251522.35999681,0.00010000
-3983.55746652,228616.81418772,0.00010000
-3978.00133934,254396.53612718,0.00010000
-3976.96780139,254258.33349312,0.00010000
-4120.87567992,133773.82900969,0.00010000
-4216.87029183,81200.29218590,0.00010000
-4667.71417542,30108.63830610,0.00010000
-4649.16079392,32650.32574575,0.00026306
-4469.94817725,26732.29641181,0.00010000
-4265.84821157,32328.22090094,0.07202723
-4473.86448270,19588.03703600,0.00014496
-4565.04121158,17453.47932083,0.00010002
-4678.41816254,16008.77581600,0.00010000
-4722.40658439,17472.48248777,0.00010000
-4728.69936748,16138.36413845,0.00010000
-5033.80380716,6843.02070313,0.00010000
-4736.22613030,12106.31776560,0.00010000
-4749.04048940,8238.75655523,0.03189066
-4727.76751577,11805.95211277,0.00010895
-4725.31695557,8835.51478439,0.03148163
-4618.89820561,13312.89778641,0.00010424
-4501.58513127,17832.59127861,0.00013649
-4351.82340861,22834.66242227,0.05945060
-4386.74483836,34242.16387744,0.01204779
-4438.39367056,49314.76616071,0.02026380
-4304.31565853,53771.69050770,0.00023135
-4081.25167047,142123.47493735,0.00010000
-4058.60352043,148313.02060631,0.00010001
-4078.59489623,125024.67271564,0.00010000
-4054.21998615,146083.55910144,0.00010000
-4042.73940927,155317.12255733,0.00010000
-3925.99212490,245149.79035656,0.00010000
-3921.49943714,252555.38928194,0.00010000
-3920.24921471,249241.91126268,0.00010478
-3915.97405365,249595.06527668,0.00010000
-3918.13603135,245994.04663961,0.00010000
-3914.19673009,254843.67230292,0.00010000
-3913.05858703,248748.42145028,0.00010000
-3909.21777568,261808.74277014,0.00010000
-3911.33127831,246455.49732143,0.00010000
-3906.10253645,259358.97210873,0.00010626
-3905.09456947,232613.04655687,0.00010431
-3903.62372943,248179.73556102,0.00010000
-3904.16268116,247905.79054740,0.00010000
-3901.09704036,257415.39425789,0.00010000
-3900.67597458,256840.10661781,0.00010000
-3900.08733904,253941.07229796,0.00010000
-3904.50488013,246568.29029383,0.00010421
-3905.33082476,249697.87930676,0.00010000
-3911.28978497,231333.86411222,0.00010000
-3916.55263600,245347.65024708,0.00010000
-3911.35991028,239811.65010479,0.00010197
-3931.74495590,220539.26672218,0.00010000
-3923.57946976,256682.76755366,0.00010000
-3933.30238608,245191.86223408,0.00013330
-3941.12955975,228516.28205246,0.00010000
-3936.03090486,257440.08934376,0.00010000
-4066.96762600,129829.86707920,0.00010000
-3948.74440194,248700.72010335,0.00010000
-3948.67323596,254697.86806324,0.00010000
-3952.88125880,245529.20463179,0.00010000
-4071.05747995,154221.86705422,0.00010000
-4274.83781232,47973.56681175,0.00010000
-4345.22144635,54568.80869074,0.00010000
