Zc,E0Tn,betaTn
-4088.10384708,261619.17996410,0.00010000
-4092.49260669,264777.08572209,0.00010000
-4104.26625285,266304.23348616,0.00010000
-4116.20346809,257796.20038849,0.00010000
-4122.33923276,255967.73421866,0.00010000
-4113.74339617,257791.87748733,0.00010000
-4110.30604286,258474.73028578,0.00010001
-4105.22669977,255885.29749522,0.00010000
-4092.92233773,259867.98264410,0.00010000
-4092.53358572,249935.30830316,0.00010001
-4085.82177868,253228.44120134,0.00010000
-4072.60671105,266757.40640766,0.00010000
-4068.71257594,260843.46735078,0.00010000
-4069.53463438,246918.72050051,0.00010000
-4061.98826347,242734.98129551,0.00010000
-4049.60760057,262317.84288782,0.00010000
-4047.15566963,249511.28598260,0.00010000
-4039.98589907,244337.80565936,0.00010000
-4033.05288407,255290.63171769,0.00010000
-4026.54762972,252785.56781598,0.00010000
-4022.56752715,254465.88980584,0.00010592
-4008.70636437,253530.48345219,0.00010000
-4010.22041348,245402.73168057,0.00010000
-3993.85379230,253537.91496538,0.00010000
-3995.68862683,248141.26319112,0.00010000
-3986.32437011,265814.28396327,0.00010000
-3985.07868818,249191.07411628,0.00010000
-3979.32987985,257504.89352552,0.00010000
-3963.54106867,260429.34895256,0.00010000
-3962.17349059,246572.86867819,0.00010000
-3956.43955274,260784.29461829,0.00010000
-3944.01480048,263181.23204840,0.00010000
-3946.53442477,253414.07066609,0.00010000
-3934.16842240,250042.80576565,0.00010000
-3936.03428368,256701.86400336,0.00010000
-3924.89987164,256010.56863625,0.00011549
-3907.97033488,263785.77636252,0.00010000
-3905.99762824,254663.08490812,0.00010000
-3903.65623514,252518.21070353,0.00010000
-3900.35105364,249020.07423184,0.00010025
-3889.18152922,241574.28068434,0.00010000
-3885.46904053,245770.79985721,0.00010000
-3880.05932498,248746.81636998,0.00010000
-3872.22129956,251521.08446430,0.00010158
-3867.01617547,240657.12924696,0.00010000
-3859.75766804,252338.53403392,0.00010000
-3847.82822195,270780.08699602,0.00010000
-3842.59639323,258980.49181418,0.00010000
-3842.02462939,255018.99847834,0.00010000
-3834.12278100,250570.20823516,0.00010000
-3827.09947865,247466.86773275,0.00010000
-3812.16540164,260704.43129504,0.00010000
-3813.30597674,256875.26544103,0.00010000
-3803.45791891,245821.52290266,0.00010000
-3798.32989066,259305.39751931,0.00010207
-3795.36989764,254842.77869815,0.00010000
-3789.49162292,255623.80245991,0.00010000
-3780.25519328,259520.98609713,0.00010000
-3770.84832280,246122.48145216,0.00010000
-3765.19018314,253170.41671223,0.00010000
-3760.00677926,240291.04881311,0.00010000
-3751.26472635,250180.36968045,0.00010000
-3750.23416038,246191.10757017,0.00010000
-3743.49295163,260204.26632177,0.00010009
-3731.81052213,259709.10160423,0.00010000
-3727.74858551,244386.73001506,0.00010000
-3722.01712148,262899.65076955,0.00010603
-3709.46084474,262386.91211771,0.00010000
-3722.71099683,248646.63610632,0.00010000
-3732.87783408,250380.55094512,0.00010000
-3727.36018601,262382.07210683,0.00010000
-3746.27940484,248356.94915946,0.00010000
-3750.25180933,256705.29868497,0.00010000
-3759.73566501,245895.31802121,0.00010000
-3765.06662504,252663.90286482,0.00010001
-3768.01966253,257265.84957526,0.00010000
-3782.19264435,246556.31035047,0.00010000
-3782.89226555,252194.21848066,0.00010000
-3797.04238602,252007.37245079,0.00010000
-3806.43934961,243691.37630199,0.00010000
-3801.22869710,264570.87718562,0.00010000
-3819.11669249,257903.40696173,0.00010000
-3827.76521729,247574.93583538,0.00010000
-3831.94408321,265297.87958961,0.00013732
-3833.94882953,266572.91898336,0.00010000
-3847.77829032,251529.28645488,0.00010000
-3857.01446117,250270.48065467,0.00010000
-3859.66028999,248906.79067358,0.00011889
-3875.54544598,240433.51971197,0.00010000
-3874.56535756,251468.53819175,0.00010000
-3883.17763138,244504.06253022,0.00010000
-3890.74723743,252060.54352232,0.00010162
-3900.16596908,252164.38874463,0.00010000
-3908.42590780,241146.43243872,0.00010000
-3914.68581272,241991.81461653,0.00010000
-3923.94737435,243672.28665037,0.00010000
-3928.68478559,262731.94520538,0.00010000
-3931.24971181,265638.16919354,0.00010000
-3942.01578628,261796.61912782,0.00010000
-3952.77701440,249584.66224440,0.00010000
-3964.46427179,254221.28596708,0.00010000
-3962.10501011,255102.86214434,0.00010000
-3974.30597522,250585.81348317,0.00010000
-3982.34945964,254447.40711411,0.00010001
-3981.99683320,263369.12458679,0.00010000
-4000.02888486,247565.56097823,0.00010000
-3998.90058109,252616.18674717,0.00010000
-4014.02274072,243488.34419022,0.00010000
-4014.32338839,255009.44628757,0.00010000
-4028.18490324,251705.37450475,0.00010000
-4033.00574020,258959.87065794,0.00010690
-4038.52871748,254811.49487799,0.00010000
-4047.99885512,243183.32513108,0.00010000
-4050.71042957,263330.32017204,0.00010000
-4063.15964515,259351.28348990,0.00010000
-4071.67223477,250860.95206479,0.00010000
-4079.85902761,246378.44951587,0.00011664
-4086.94091108,254496.25963117,0.00010000
-4089.03622637,255521.96131001,0.00010000
-4101.78677831,257072.57111755,0.00010000
-4113.85836577,256861.30827711,0.00010000
-4116.92963185,258502.39150473,0.00010004
-4123.82901788,256183.40929156,0.00010079
-4133.25352522,253278.44180305,0.00010000
-4142.93473477,250771.76543316,0.00010000
-4144.93357333,254290.72292887,0.00010000
-4154.64594440,257681.74587921,0.00010000
-4154.73467236,261706.91651131,0.00010000
-4164.33301808,264615.09831219,0.00010000
-4178.77063821,246946.11565056,0.00010000
-4184.69947788,244888.91295367,0.00010000
-4187.98773480,249729.81158706,0.00010000
-4191.29229297,256624.59080583,0.00010000
-4190.17157740,246732.62480763,0.00010000
-4187.15777914,244322.50547509,0.00010000
-4179.05138555,262916.93950601,0.00012558
-4168.43172988,250885.88894287,0.00010000
-4159.30963092,260213.62621444,0.00010000
-4155.65140532,256760.74366239,0.00010000
-4153.97179424,246240.12363893,0.00010000
-4153.30987219,238758.44332212,0.00010000
-4139.52244605,245776.32533967,0.00010000
-4133.01323024,245677.57716526,0.00010155
-4129.24817077,247166.52595781,0.00010000
-4125.18592789,249400.75442103,0.00010001
-4113.82753148,250111.90672754,0.00010000
-4108.40981135,241824.35585021,0.00010000
-4102.20398598,243057.51940332,0.00010001
-4090.84066533,257396.07401018,0.00010000
-4079.38047445,265159.84592420,0.00010000
-4085.41352537,259885.29711228,0.00010000
-4074.89776468,245981.59027712,0.00010000
-4067.52434788,251779.50580214,0.00010000
-4054.52542849,259357.13134640,0.00010000
-4052.47200735,248104.25273061,0.00010000
-4048.94725111,244710.41959006,0.00010000
-4034.78690132,262438.87354870,0.00010001
-4037.33843751,248451.61449767,0.00010000
-4026.97832010,261105.30735852,0.00012641
-4024.20569410,254171.87928979,0.00010000
-4011.85914881,254168.42317458,0.00010000
-4008.03937312,247653.27630211,0.00010000
-3999.78989289,255546.58129338,0.00010000
-3994.27439339,247660.02313923,0.00010000
-3982.55364430,264614.17270090,0.00010000
-3982.94830015,255018.20484080,0.00010000
-3978.80358331,248961.65424348,0.00010000
-3964.40354213,264349.38917272,0.00010000
-3963.74582137,249541.65797312,0.00010000
-3958.96827367,249246.30472622,0.00010000
-3949.32302762,255152.29468094,0.00010000
-3937.21430753,263072.65653910,0.00010000
-3928.61089177,257807.80879823,0.00010000
-3924.55645535,260275.52183459,0.00010000
-3926.18813206,245158.91182263,0.00010000
-3915.30821393,240726.79692016,0.00010000
-3911.49535017,243056.07325866,0.00010000
-3907.89074843,244623.37350823,0.00010000
-3899.82755424,249518.66289301,0.00010000
-3889.46233957,252911.65986569,0.00010000
-3886.94009718,251210.66141635,0.00010000
-3879.60231162,241398.08401361,0.00010000
-3875.34224898,239327.40713529,0.00010000
-3864.79607728,243254.28486309,0.00010008
-3859.25753690,253585.44624208,0.00010000
-3844.78568481,269167.96190760,0.00010615
-3844.44597440,257074.57069118,0.00012214
-3841.22273028,255119.31662708,0.00010000
-3830.69810933,253725.38936663,0.00010000
-3824.64174989,257635.08540796,0.00010001
-3818.95634379,262082.73062942,0.00010000
-3820.88135125,237309.93367982,0.00010000
-3799.30196298,260899.07083679,0.00010000
-3802.89958210,255498.63265834,0.00010000
-3795.59589925,249562.31088896,0.00010000
-3784.34223153,260490.29883781,0.00010000
-3797.05789366,251175.92932154,0.00010000
-3798.12080638,257838.08437111,0.00010000
-3806.08406299,254285.80764761,0.00010000
-3814.86205451,249759.99991267,0.00010000
-3817.54067355,259249.29748879,0.00010000
-3829.66706893,258282.64263384,0.00010000
-3837.72411989,236287.28791850,0.00010000
-3838.34271150,256467.92078187,0.00010000
-3844.60970335,257550.62590364,0.00010000
-3861.39155456,255022.11889996,0.00010000
-3870.08002666,250082.33477601,0.00010364
-3877.39645807,246398.55359143,0.00010000
-3879.30980021,247331.33587422,0.00010000
-3887.68034618,248140.10598924,0.00010000
-3898.89033973,243945.27261877,0.00010000
-3898.66964716,249315.01922333,0.00010000
-3912.11925346,245377.78684524,0.00010000
-3914.03817365,258476.98842576,0.00010000
-3922.82106666,253071.27788011,0.00010000
-3925.18737201,251032.47866703,0.00010000
-3940.26421611,261020.59649867,0.00010000
-3950.20939289,246461.80032861,0.00010000
-3956.69370152,250576.16919339,0.00010000
-3953.64475219,255816.10010776,0.00010000
-3973.61127635,254872.05004109,0.00010000
-3977.99369848,250372.90978464,0.00010001
-3979.09003069,257396.79968545,0.00010000
-3991.82898810,248042.93895954,0.00010000
-4002.32192688,263964.36691906,0.00012749
-4006.99353197,249885.86445579,0.00010000
-4017.89008227,253180.33273878,0.00011281
-4020.43271127,249328.18001453,0.00010001
-4029.13161942,253902.94642888,0.00010000
-4038.11537412,247255.50641567,0.00010000
-4039.44264609,258358.74126156,0.00010000
-4055.41324660,235336.17541870,0.00010000
-4059.30697742,242363.49314693,0.00010000
-4060.53729082,258577.10898917,0.00010000
-4076.03365190,257252.49360892,0.00010000
-4089.16068224,250446.38863026,0.00010000
-4093.47710649,246239.26622233,0.00010000
-4100.13105501,263091.02603200,0.00010000
-4100.78514736,264995.94971804,0.00010000
-4109.34229338,258810.30307148,0.00010000
-4121.42444726,253723.81070033,0.00010000
-4130.32841071,255182.11627725,0.00010000
-4138.58785806,257113.68810223,0.00010000
-4147.76780569,265693.92363627,0.00010145
-4153.40049354,261884.04478136,0.00010000
-4155.59033997,254867.00436293,0.00010000
-4159.17716423,266926.48192981,0.00010000
-4173.22559831,254884.64732813,0.00010000
-4186.08068388,249049.89367670,0.00010000
-4188.63960426,252101.51470877,0.00010000
-4190.44850481,260364.51882441,0.00010000
-4204.11775732,250091.12579505,0.00010000
-4212.43142424,245390.89516814,0.00010000
-4213.86199519,250736.42427036,0.00010000
-4230.78717665,246352.89239715,0.00010000
-4235.85268609,252899.35798364,0.00010000
-4242.65316879,257526.73742786,0.00010000
-4253.38233935,252477.63189096,0.00010000
-4258.31466132,258418.95332966,0.00010000
-4265.51374441,260341.58488150,0.00010000
-4272.74510875,247515.33852579,0.00010000
-4261.24480774,261265.26314516,0.00010000
-4263.20147905,250925.21918211,0.00010000
-4250.26048658,262673.70087502,0.00010000
-4248.06376127,252805.93054816,0.00010001
-4240.73004016,266518.69253412,0.00010000
-4230.28120445,251263.47538625,0.00010000
-4228.38004938,250086.79791377,0.00010001
-4214.37591137,251419.83071316,0.00010000
-4214.81183354,245999.19427547,0.00010083
-4207.11372915,254493.68293596,0.00010142
-4193.77947450,255736.44212281,0.00010000
-4190.64074413,243803.90998142,0.00010000
-4193.29144673,246997.88546864,0.00010000
-4181.55304940,261940.01501243,0.00010000
-4168.85517379,255981.77747145,0.00010000
-4172.43690002,249816.13525068,0.00010000
-4161.97299716,244421.33551922,0.00010001
-4159.16467620,244850.75268731,0.00010000
-4149.92157272,253176.63349162,0.00010006
-4145.28382958,250364.61134138,0.00010000
-4137.53595069,253347.11396917,0.00010004
-4130.28985600,265192.08971822,0.00010000
-4127.51960178,267559.33019027,0.00010000
-4120.17757167,257832.97808947,0.00010000
-4114.57487245,249187.14436450,0.00010000
-4107.87925844,249081.70944334,0.00010000
-4102.75258519,253405.54586725,0.00010000
-4091.48520806,261856.78754027,0.00010000
-4077.01605537,253483.68527520,0.00010001
-4077.65932559,258869.63041538,0.00010000
-4074.18394624,248155.26760732,0.00010000
-4062.97639133,235735.78584836,0.00010000
-4054.44388530,257714.14419951,0.00010000
-4052.50296833,254315.77050459,0.00010000
-4043.63071573,238377.73741889,0.00010001
-4033.02507640,256840.11616501,0.00010000
-4032.69571358,243184.44411598,0.00010000
-4016.34311814,266043.74644437,0.00010000
-4020.71383926,245269.40964900,0.00010000
-4005.70150683,264062.40070946,0.00010000
-4009.99675277,248322.29482651,0.00010000
-4000.60237141,253576.95865007,0.00010117
-3995.42446996,258185.10741997,0.00010000
-3986.93242615,248881.88582790,0.00010000
-3971.87936740,259943.42375723,0.00010000
-3977.97963605,249631.38431399,0.00010000
-3965.86321122,257968.73457356,0.00010000
-3958.45083050,262606.79461161,0.00010000
-3949.89211221,260489.37732085,0.00010000
-3947.13197290,249894.44840613,0.00010000
-3943.97072284,249725.63081063,0.00010000
-3935.82487596,253009.82102401,0.00010094
-3925.13051259,257647.28600066,0.00010000
-3918.25193038,258150.14942866,0.00010000
-3907.25071837,252342.38935528,0.00010000
-3904.86601686,253496.86412956,0.00010000
-3899.87788500,253728.49032986,0.00011530
-3890.95685604,257186.73805563,0.00010000
-3882.12764611,259778.31175805,0.00010000
-3872.53596334,252979.67521820,0.00010000
-3872.13405423,260422.42869015,0.00010000
-3869.59934315,259603.46989046,0.00010144
-3863.78201000,251652.31870677,0.00010000
-3865.90992451,247223.80780848,0.00010000
-3877.89490303,244558.30652719,0.00010000
-3880.59363957,249620.76858253,0.00010000
-3895.51392389,157240.35531388,0.00010006
-3899.52559638,241201.40399847,0.00010000
-3906.04729388,248854.49146206,0.00010001
-3913.39329616,246357.52273590,0.00010000
-3919.32998253,259999.39679439,0.00010425
-3928.50308658,253630.31193669,0.00010000
-3928.69644182,260237.87407390,0.00010000
-3940.13170825,262944.80722103,0.00011031
-3952.74814662,247698.53866570,0.00010000
-3955.65118624,255799.16767620,0.00012040
-3967.88386976,254350.52489291,0.00010000
-3964.80873224,261795.03352159,0.00010000
-3978.89301198,246842.40728518,0.00010010
-3987.34346309,257129.51575799,0.00010000
-3992.20056867,261969.18599445,0.00010000
-4006.18299337,242409.63620545,0.00010000
-4007.79443934,257645.57923933,0.00010001
-4019.44318118,241853.92899647,0.00010000
-4016.10234033,261055.31670609,0.00010000
-4031.25769963,244761.74215272,0.00010037
-4032.82046117,261377.31480004,0.00010959
-4045.49858586,254369.37530907,0.00010000
-4052.02198257,244353.39770405,0.00010000
-4059.50532806,255073.38959116,0.00010000
-4071.04742635,257834.66736419,0.00010000
-4077.65301048,245378.26686047,0.00010000
-4086.29188724,246767.28198312,0.00010000
-4093.12866835,253144.38112617,0.00010000
-4094.06017669,264759.88664226,0.00010000
-4107.08420295,257806.44348865,0.00010000
-4117.45811395,256131.78240545,0.00010000
-4124.95489959,261137.88892404,0.00010001
-4132.53500630,250810.09621930,0.00010000
-4141.18824235,251075.85530115,0.00010000
-4148.79380257,255414.45610700,0.00010000
-4152.74293821,262680.31578331,0.00010000
-4158.40689408,251848.07374443,0.00010000
-4160.22093788,264045.41385258,0.00010000
-4176.11252190,253199.87349422,0.00010000
-4185.72235826,246606.85863816,0.00010000
-4191.36991234,259351.05806547,0.00010000
-4194.37684374,257775.90872333,0.00010000
-4205.54604503,243085.64446940,0.00010038
-4216.31856750,246937.17538894,0.00010000
-4214.81292494,266778.93616132,0.00010000
-4233.04073074,245154.28390651,0.00010000
-4233.02381158,268849.88851445,0.00010000
-4246.93774526,244218.48565046,0.00010000
-4248.88256976,260005.38737047,0.00010000
-4260.78405028,248631.96778964,0.00010000
-4269.54978996,247399.79449929,0.00010000
-4275.68324352,245146.34192419,0.00010027
-4269.52417229,265387.34343463,0.00010000
-4288.72573523,257554.66925180,0.00010004
-4293.18279394,248954.99247673,0.00010000
-4295.34627524,260985.80950657,0.00010000
-4309.92504245,254293.61778986,0.00010005
-4320.79186693,246130.80396726,0.00010000
-4322.50472258,247670.98831115,0.00010000
-4324.42813222,251391.63860638,0.00010000
-4335.33843067,253953.81266469,0.00010000
-4342.97433213,256420.77114621,0.00010000
-4338.12693963,246698.09438696,0.00010000
-4328.14506384,244330.63995986,0.00010000
-4323.34836215,248777.07591697,0.00010000
-4317.09759630,258039.62854874,0.00012016
-4310.79187635,261689.45749023,0.00010762
-4307.04198457,251266.21278799,0.00010000
-4296.40126370,246484.41228667,0.00010000
-4284.61999489,262706.70509099,0.00010000
-4290.30309530,252378.69973729,0.00010000
-4283.96361224,247325.78029621,0.00010268
-4271.15396397,259014.04917904,0.00010000
-4271.03624281,244902.26449598,0.00010000
-4255.56160039,248635.18823387,0.00010000
-4249.96584101,248134.56714856,0.00010000
-4238.42530790,269273.20652919,0.00010530
